norm_name,college_teams,club_teams,review
joshua morris,missouri (missouri),fungi; johnny bravo; kc smokestack; makawua; prairie fire; spicy,
joshua nelson,christopher newport (skymaul),fathom,
joshua ngotiaoco,georgia tech (tribe); georgia tech-b (tribe),atlanta outlaws; dyno,
joshua norton,skidmore (thoroughbears),citywide special; garden state ultimate; green means bro,
joshua parlapiano,suny-albany-b (scam),alibi,
joshua perlmutter,georgia tech-b (tribe),atlanta outlaws,
joshua pinto,boston university (boston university); pittsburgh-b (university of pittsburgh- b),buda u20b,
joshua pratt,minnesota (grey duck),mallard ii; the body,
joshua pritchett,texas-dallas-b (woof),duplex; riverside messengers-b,
joshua rainey,north texas (unt),cowtown cannons; dallas united outlaws; e.v.i.l.; glycerine,
joshua reed,auburn (aetos),alliance; alliance 2,
joshua remington,rhode island (riut); rhode island -b (riut b),2night; lantern; one night,
joshua rigby,auburn (aetos),second nature,
joshua rust,brigham young-b (chi b),lil’ huckers; sundance kids; utah hatu; wretched refuse,
joshua saad,arizona state (prime),drought; monsoon; nighthawk,
joshua scheuer haeker,alabama (yellow hammer); alabama-b (yellow hammer),alliance; alliance 2,
joshua schmidt,stevens tech (stevens tech); stevens tech-b (stevens tech),deepfake,
joshua schroeder,san diego state (federales ); san diego state (federalis),desert penguins; streetgang,
joshua shamouil,rutgers (machine),helots,
joshua shapiro,rochester (piggies),deathsquad; genny lite,
joshua simpson,college of new jersey (revolution),oak grove boys; oakgrove boys,
joshua strange,alabama-huntsville (nightmares),apollo,
joshua sumpter,liberty (flames),blud,
joshua turner,oberlin (flying horsecows); oberlin-b (flying horsecows),houndd; madhouse; red circus,
joshua van abel,wisconsin-oshkosh (ufo),kfc; timber,
joshua vashon,maine (nor'easter),maine (nor'easter),
joshua venegas,northwestern (nut),flying dutchmen; four; indy club; nain rouge; omen,
joshua vierke,iowa (ihuc),cryptic; trident ii; zodiac,
joshua walsh,grand canyon (lopes),nighthawk,
joshua wang,illinois-b (boomland); michigan (magnum),dcviii; east lansing detroit lions; i-69; marc,
joshua webb,south florida (scallywags); virginia (night train),florida untied; uproar,
joshua whitman,illinois-b (boomland),nasty girls,
joshua wu,massachusetts -b (umass amherst developmental),black lung; flying pig; omen; solar eclipse,
joshua yoo,william & mary (merry men),bryce whitney fan club,
joshua young,maryland (maryland ultimate); southern mississippi (southern mist),predator,
joshua yuan,california (california-berkeley),bobcats; gulls; the berkeley bobcats; zyzzyva,
joshua zdrodowski,utah (zion curtain),doublewide,
joshua zinger,virginia commonwealth (biscuit villains); william & mary (darkhorse); william & mary (merry men),ballston booya; mr. scott and the tots,
joshua-paul atkinson,suny-buffalo-b (grinch),buffalo frostbite; motive,
joshy felton,colorado college (wasabi),wasabi,
josiah colby,pacific lutheran (reign men); pacific lutheran (reign); pacific lutheran-b (plu reign b); parkland - plu alumni,make it rain,
josiah crawford,british columbia (thunderbirds); colorado cutthroat: youth club u-20 boys,colorado cutthroat (colorado cutthroat); colorado cutthroat: youth club u-20 boys,
josiah heikes,john brown (ironfist),kansas city smokestack,
josiah padgett,texas a&m (dozen),riverside; texas duffy,
josiah peck,messiah (falcons),bear proof; low point; trout,
josiah pfeiffer,wichita state (wheaties),meadowlark,
josiah salazar,union (tennessee) (union jaxx),cookie mon$terz,
josiah sweet,california-irvine (nightlife),wavestorms,
josiah yates,colorado mesa (colorado mesa mavericks),buoyancy,
josiah zoodsma,suny-stony brook (panic),genny the boys (gtb),
jospeh spears,alabama-birmingham (inferno),alliance,
josue ostos,seven hills bx,ave; avenue -a,
josue reyes,towson (pandamonium),bomb squad,
jovan strange,vermont (chill),bang; tire,
jovannie romero,sul ross state (sul ross ultimate),shrimp discs,
jozef gaber,victoria (vikes),surf,
jp benedict,north dakota state (windbreak ultimate club),dingwop; fargoats,
jp collins,northeastern-b (beastern),mbta,
jp torack,washington university-b (contraband),stl moonar,
jt delongchamp,illinois-b (boomland); illinois-c (cornland),riptide-b,
jt kirages,illinois (rise),haymaker; lantern; skeleton squad,
jt stancil,tulsa (party fowl),barnstorm; flash flood; kansas city smokestack; prairie fire,
jt weaver,xavier (b.l.o.b.),dynasty; rotisserie chicken,
juan acosta,wisconsin-platteville (udderburn),ironside; reál hogs fc-b; watch city,
juan camilo castrillon davis,georgia tech (tribe),atlanta outlaws,
juan castillero,colorado (mamabird); colorado-b (cucu),red lotus,
juan cortes,carnegie mellon-b (harmful if swallowed); carnegie mellon-b (harmful),space force,
juan gonzalez,las positas (hawks),8-bit; 8-bit defenders; chicago dart frogs; on ramp,
juan grases,southern california-b (usc blockdown),oat,
juan miguel hojilla,california-b (thugmo),journeymen,
juan ornelas,sul ross state (sul ross ultimate),shrimp discs,
juan valle,texas a&m (dozen); texas a&m-b (dozen matter),riverside ultimate,
judah goldman,aviators (aviators & friends); brandeis (tron),mbta,
judah kim,illinois (rise),devyl u-20 open; u54,
judah mcdowell,hillsdale (chargers),the incline,
judah newman,chicago (junk),beachfront property; greater gary goblins y; guerrilla,
jude ogden,columbia (uptown local); wisconsin (hodags),dangerous unidentified mystical beast; swordfish,
jude ratajczak,loyola-chicago (darkwing),maumee boys,
jude schmiesing,franciscan (fatal),pittsburgh temper,
jude small,oregon (ego); seven hills bx,avenue -a,
juelz charlesworth,alabama-birmingham (inferno),alliance,
juerell pascua,washington-b (washington b),ave,
jule streety,arizona (sunburn),sprawl,
jules langert,texas (tuff),heatwave; texas united,
jules messersharp,portland state (juicy),junco; oregon trainwreck,
julia danci,eastern michigan (fighting hellfish),diesel,
julia mills,hofstra (flying dutchmen),hofstra (flying dutchmen),
julian alvarez-lobo,georgia state (underground); georgia-b (chillydawgs),atlanta arson,
julian baxandall,california (california-berkeley); california-b (thugmo),bag; cojones; oat; zyzzyva,
julian bosco,syracuse (doom),mohawk valley wild; skeleton squad,
julian bregstone,oberlin (flying horsecows),town hall stars,
julian ching hei chow,johns hopkins (dangerzone),bomb squad,
julian collins,idaho (graffiti),sawtooth,
julian cooper,maryland-b (astro quakers),emu,
julian delamaza,american (stall 11); vanderbilt (armada),nashville mudcats,
julian esler,columbia (uptown local); coup red (high school),columbia (uptown local),
julian galbraith-paul,pittsburgh-b (university of pittsburgh- b),puppies,
julian hester,north carolina state -b (six pack); north carolina state-b (six pack),triumph,
julian huen,houston (skyline),black gold; firefly tx; rice box,
julian jay,nebraska (cornfed ultimate),seven gills,
julian kagi,carleton college-chop (carleton house of pancakes),dark star; junco; oregon trainwreck; portland tremor; trainwreck and friends,
julian kahn-steele,north florida (category 5),flux,
